"","syndrome","class","gram.stain","iso3c.x","whoc.region","Income.group","wb.region","TE.final","seTE.final","level","no.studies"
"1","BSI","3g cephalosporins","gn","STP","AFRO D",NA,NA,318.380024958654,234.50389489773,"global",9
"2","BSI","3g cephalosporins","gn","COK","WPRO B",NA,NA,318.380024958654,234.50389489773,"global",9
"3","BSI","3g cephalosporins","gn","NIU","WPRO B",NA,NA,318.380024958654,234.50389489773,"global",9
"4","BSI","3g cephalosporins","gn","AUS","WPRO A","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"5","BSI","3g cephalosporins","gn","BRN","WPRO A","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"6","BSI","3g cephalosporins","gn","JPN","WPRO A","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"7","BSI","3g cephalosporins","gn","NZL","WPRO A","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"8","BSI","3g cephalosporins","gn","SGP","WPRO A","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"9","BSI","3g cephalosporins","gn","KOR","WPRO B","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"10","BSI","3g cephalosporins","gn","PLW","WPRO B","High income","East Asia & Pacific",272.186233347766,246.224677038147,"income",8
"11","BSI","3g cephalosporins","gn","PRK","SEARO D","Low income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"12","BSI","3g cephalosporins","gn","IDN","SEARO B","Lower middle income","East Asia & Pacific",769.224968192124,769.224968192124,"whoc",1
"13","BSI","3g cephalosporins","gn","TLS","SEARO B","Lower middle income","East Asia & Pacific",769.224968192124,769.224968192124,"whoc",1
"14","BSI","3g cephalosporins","gn","MMR","SEARO D","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"15","BSI","3g cephalosporins","gn","FSM","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"16","BSI","3g cephalosporins","gn","KHM","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"17","BSI","3g cephalosporins","gn","KIR","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"18","BSI","3g cephalosporins","gn","LAO","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"19","BSI","3g cephalosporins","gn","MNG","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"20","BSI","3g cephalosporins","gn","PHL","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"21","BSI","3g cephalosporins","gn","PNG","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"22","BSI","3g cephalosporins","gn","SLB","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"23","BSI","3g cephalosporins","gn","VNM","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"24","BSI","3g cephalosporins","gn","VUT","WPRO B","Lower middle income","East Asia & Pacific",870.197859715855,759.521915247446,"wbregion",2
"25","BSI","3g cephalosporins","gn","THA","SEARO B","Upper middle income","East Asia & Pacific",769.224968192124,769.224968192124,"whoc",1
"26","BSI","3g cephalosporins","gn","CHN","WPRO B","Upper middle income","East Asia & Pacific",313.726515015262,235.928136079787,"income",3
"27","BSI","3g cephalosporins","gn","FJI","WPRO B","Upper middle income","East Asia & Pacific",313.726515015262,235.928136079787,"income",3
"28","BSI","3g cephalosporins","gn","MHL","WPRO B","Upper middle income","East Asia & Pacific",313.726515015262,235.928136079787,"income",3
"29","BSI","3g cephalosporins","gn","MYS","WPRO B","Upper middle income","East Asia & Pacific",313.726515015262,235.928136079787,"income",3
"30","BSI","3g cephalosporins","gn","NRU","WPRO B","Upper middle income","East Asia & Pacific",313.726515015262,235.928136079787,"income",3
"31","BSI","3g cephalosporins","gn","TON","WPRO B","Upper middle income","East Asia & Pacific",313.726515015262,235.928136079787,"income",3
